"id","categoria","descrizione","trigger","P","I","score","color","status","owner","response","mitigation","residual_P","residual_I","residual_score","phase","confidence","last_review","ewi","falsifying_observation","top10_flag"
"RSK-GEO-001","Geopolitico","[RESERVED — vedi riferimenti/RESERVED-rischi-geopolitici.md §2] Frizione con USA / posizione narrativa stratosferica","[RESERVED — accesso ristretto]","3","4","12","YELLOW","Open-High","sovereign-strategist + CEO","Mitigate","[RESERVED] Linguaggio 'complementare IRIS2'; diversification supply; dialogo Atlantico NATO DIANA; avoid US dependency core","2","3","6","Y4+","medium","2026-05-17","[RESERVED — Early Warning Indicators trimestrale]","","N"
"RSK-GEO-003","Geopolitico","[RESERVED] Dipendenza supply chain non-EU - escalation geopolitica blocca componenti","[RESERVED]","3","4","12","YELLOW","Open-High","sovereign-strategist + supply-chain","Mitigate","[RESERVED] Supply chain mapping; EU sovereign suppliers roadmap; stock buffer; EU CRMA Strategic Project","2","3","6","Y2+","medium","2026-05-17","[RESERVED]","","N"
"RSK-GEO-004","Geopolitico","[RESERVED] Misalignment con programmi sovrani EU multi-orbita","[RESERVED]","3","4","12","YELLOW","Open-High","sovereign-strategist + CEO","Mitigate","[RESERVED] Position paper complementarita; engagement DG CNECT + DG DEFIS; joint workshop","2","3","6","Y2-Y4","medium","2026-05-17","[RESERVED]","","N"
"RSK-GEO-005","Geopolitico","[RESERVED] Acquisizione difensiva da incumbent IT settore aerospace","[RESERVED]","3","4","12","YELLOW","Open-High","CEO + Board","Mitigate","[RESERVED] Capital structure resistente; anchor investors non-ostili; speed to value; pluralismo cooperative","2","3","6","Y3-Y4","medium","2026-05-17","[RESERVED]","","N"
"RSK-HR-001","Risorse Umane","Difficolta reclutamento pilota UAS specialist BVLOS","Tempo hire pilota > 6 mesi","4","3","12","YELLOW","Open-High","HR + business-model","Mitigate","Training in-house pilota junior; partnership scuole UAS; contratti competitivi + benefits cooperative","3","2","6","Y1","medium-high","2026-05-17","Job market UAS pilots IT + LinkedIn data + scuole UAS","","N"
"RSK-MKT-001","Mercato","Adozione lenta PA - cicli appalti pubblici 12-24 mesi vs piano 6-9 mesi","Contratti pluriennali Regione Liguria non firmati entro M+12","4","3","12","YELLOW","Open-High","snai-funding + business-model","Mitigate","Anchor customer Regione + LoI pre-formale; contratti pluriennali quadro; partnership cooperative come veicolo di servizi","3","3","9","Y1-Y2","high","2026-05-17","Bandi Regione publication + LoI tracking","","Y"
"RSK-MKT-002","Mercato","Competitor Tier 1 AALTO-Leonardo JV - cattura 2-3 Regioni SNAI con pricing aggressivo","AALTO-Leonardo annuncia JV o pilota multi-regionale entro Y2","3","4","12","YELLOW","Open-High","competitive-intelligence + business-model","Mitigate","Differenziazione cooperativa + sovranita IT; speed to market 6A; partnership CIRA/POLITO; lock-in cooperative Legacoop","3","3","9","Y2-Y3","medium","2026-05-17","AALTO press releases + Leonardo strategy update","","Y"
"RSK-MKT-004","Mercato","Pricing pressure - PA italiana clienti price-sensitive vs servizi premium","Tender Regione cost ceiling < 50k EUR/anno per servizio EO/SAR","4","3","12","YELLOW","Open-High","business-model + financial-cfo","Mitigate","Bundle servizi multipli (EO+IR+NTN+monitoring) per economia scale; cost-shared infrastruttura cooperative; modello canone vs ore-volo","3","3","9","Y1-Y3","medium-high","2026-05-17","Tender history pricing + benchmark drone services market IT","","N"
"RSK-MKT-005","Mercato","Single-customer concentration Liguria - alternanza politica regionale evapora anchor","Elezioni Regione Liguria 2025+ portano cambio amministrazione + scope revision","3","4","12","YELLOW","Open-High","business-model + sovereign-strategist","Mitigate","Espansione 2-3 regioni SNAI Y3 (Piemonte, Marche, Calabria, Basilicata); LoI pre-formalizzata multi-region; contratti pluriennali con clausole continuita amministrative","2","4","8","Y2-Y3","medium","2026-05-17","Elezioni regionali calendar + cambio assessori Liguria","","Y"
"RSK-OPS-003","Operativo","Reclutamento pilota UAS specialist BVLOS - mercato compresso in Italia","Tempo hire pilota BVLOS > 6 mesi","4","3","12","YELLOW","Open-High","HR + business-model","Mitigate","Training in-house pilota junior; partnership con scuole UAS (es. Volandia, scuole Aero IT); contratti competitivi","3","2","6","Y1","medium-high","2026-05-17","Job market UAS pilots IT + scuole UAS graduates","","N"
"RSK-REG-015","Regolatorio","Cross-border BVLOS - assenza EU regulation harmonizzata per cross-border ops HAPS","Operazioni cross-border (Liguria-Francia, Liguria-Svizzera) bloccate da MS divergenti","4","3","12","YELLOW","Monitor","aviation-regulatory + sovereign-strategist","Accept+Mitigate","Focus Y1-Y3 su operazioni domestiche IT; engagement EASA cross-border WG Y3+","3","2","6","Y3+","medium","2026-05-17","EASA cross-border framework calendar","","N"
"RSK-REG-016","Regolatorio","AI Act (Reg.UE 2024/1689) - payload IR + biometric classification high-risk Annex III","Garante o AgID classifica sistemi IR onboard come 'alto rischio AI Act'","3","4","12","YELLOW","Open-High","data-privacy-counsel + DPO","Mitigate","Privacy by design hardware (blur on-board obbligatorio); esclusione esplicita riconoscimento biometrico; engagement Garante + AgID pre-clearance; conformity assessment Notified Body se richiesto","2","3","6","Y1+","medium","2026-05-17","Garante delibere AI Act + AgID circolari + EU AI Office guidance","","N"
"RSK-REG-026","Regolatorio","Insurance BVLOS - mancata copertura broker aviation o premio > 100k EUR/anno","Tender broker non riceve quotation accettabile per BVLOS Pentema","4","3","12","YELLOW","Open-High","financial-cfo + ops","Transfer+Mitigate","Tender con broker specializzati aviation (Marsh, Aon, Willis Italia); copertura RC+casco+cyber+privacy; piano captive insurance Y3+","3","2","6","Y0+","medium","2026-05-17","Market hardening aviation insurance + quotation timing","","N"
"RSK-REP-005","Reputazionale","Geopolitical narrative misalignment - linguaggio 'alternativa Starlink' attiva RSK-GEO-001","Comunicazione interna o esterna usa framing competitive vs Starlink","3","4","12","YELLOW","Open-High","CEO + comms + sovereign-strategist","Mitigate","Communication guidelines: 'complementare a IRIS2' SEMPRE; mai 'vs Starlink'; press training; review pre-publication","2","3","6","Y1+","high","2026-05-17","Communications audit monthly + media coverage analysis","","N"
"RSK-SUP-002","Supply Chain","Single source celle solari multi-junction GaAs - concentrazione Spectrolab (US)","Spectrolab export restriction o capacity allocation military priority","3","4","12","YELLOW","Open-High","propulsion-energy-engineer + supply-chain","Mitigate","Azur Space (DE) qualification path; engagement Enel 3SUN (IT); EU CRMA Strategic Project status","2","3","6","Y3+","medium","2026-05-17","Spectrolab capacity announcements + Azur Space EU production","","N"
"RSK-TEC-012","Tecnico","FCS DAL-C HALE custom - mancanza track record civile + costo qualification ~2-5M EUR","Vendor FCS DAL-C EU rifiuta development partnership o costo > budget","3","4","12","YELLOW","Open-High","avionics-gnc-engineer","Mitigate","Engagement early vendor EU (UAVOS, MicroPilot, Honeywell EU); partnership con CIRA su FCS Italian sovereign; budget riservato 2-3M EUR R&D","2","4","8","Y3-Y4","medium","2026-05-17","Quotation vendor FCS + RMT EASA on autonomy","","N"
"RSK-TEC-018","Tecnico","Calibrazione IR sensor persa - false positive antincendio o missed hotspot","Validation post-deploy mostra false alarm rate > 5% o missed detection > 2%","3","4","12","YELLOW","Open-High","earth-observation-expert","Mitigate","NUC (Non-Uniformity Correction) frequente + cross-check RGB + validation periodica vs ground truth (VVF, satellite)","2","3","6","Y1+","medium-high","2026-05-17","FAR/MDR weekly metrics + IR cal report mensile","","N"
"RSK-MKT-008","Mercato","Window IRIS2 chiude - posizionamento 'complementare' falsificato (vedi §5.16bis)","Y3 Commissione UE/SpaceRISE escludono layer stratosferici da architettura sovrana","2","5","10","YELLOW","Open-High","sovereign-strategist + CEO","Mitigate","Position paper 'Italian Stratospheric Sovereignty' Y1-Y2; engagement DG CNECT + DG DEFIS + SpaceRISE; alternative narrative 'EU sovereign multi-layer'","2","4","8","Y2-Y3","medium","2026-05-17","IRIS2 architecture publications + SpaceRISE workplan + UE press releases","","N"
"RSK-OPS-002","Operativo","Incidente UAS BVLOS sul territorio - danno a persone/cose/aviazione manned","Near-miss vs aviazione manned o danno a terzi","2","5","10","YELLOW","Open-Critical","aviation-regulatory + ops + safety","Mitigate+Transfer","SORA M2 mitigation (parachute, flight termination); GRC mitigation (geofence, Lost-Link); assicurazione adeguata; SOPs rigorosi; training continuo","1","4","4","Y1+","high","2026-05-17","Incident reports settore IT/EU + near-miss interno + FAR/MDR drone","Se incidente con vittime, intero modello operativo sospeso + responsabilita penale (RSK-REG-020)","Y"
"RSK-REG-020","Regolatorio","Codice Penale art. 432-bis - responsabilita penale PIC + organizzazione D.Lgs.231","Incidente UAS BVLOS con conseguenze (near-miss vs aviazione manned o danni terzi)","2","5","10","YELLOW","Open-High","aviation-regulatory + ops + legal","Mitigate+Transfer","Assicurazione RC+casco BVLOS adeguata (>=5M EUR); D.Lgs.231 modello organizzativo; SOPs rigorosi; training PIC; safety reporting culture","1","4","4","Y1+","medium","2026-05-17","Incident reports settore UAS BVLOS Italia + near-miss tracking interno","Se incidente con conseguenza penale a Y1-Y2, intero modello operativo a rischio; Garante interviene parallelo","Y"
"RSK-REP-001","Reputazionale","Incidente UAS BVLOS pubblico - copertura mediatica nazionale negativa","Incidente con conseguenze + coverage stampa nazionale","2","5","10","YELLOW","Open-Critical","CEO + comms","Mitigate+Transfer","Crisis communication plan; PR specialist on retainer; safety record positive + trasparenza; assicurazione legal protection + comms","1","4","4","Y1+","medium-high","2026-05-17","Settore drone incidents IT/EU + sentiment monitoring","","Y"
"RSK-TEC-008","Tecnico","Batterie thermal runaway - LiPo 6A o LiS 6B - propagation cell-to-cell","Incidente settore (Boeing 787, Tesla, drone delivery) o test interno cella defect","2","5","10","YELLOW","Open-High","propulsion-energy-engineer + safety","Mitigate+Transfer","Cell-level fuse + intumescent barriers + BMS multi-sensor + hangar dedicato ATEX + assicurazione casco con clausola batteria","1","4","4","Y1+ continuous","high","2026-05-17","Reports thermal events FAA/EASA + cell vendor recall","","Y"
"RSK-FIN-003","Finanziario","Sovracosti CapEx 6A - quotation vendor real-world supera baseline 700k-2M EUR +30-50%","Quotation JOUAV/Tekever + payload + GS supera budget +30%","3","3","9","YELLOW","Open-High","financial-cfo + systems-engineer","Mitigate","Quotation parallel vendor multipli; contingency 20% in budget; scope reduction MVP se necessario","2","3","6","Y1","medium","2026-05-17","Quotation report vendor mensile + market index UAS","","N"
"RSK-MKT-003","Mercato","Sentinel/Copernicus competizione EO - servizi free open data minano pricing premium","Use case Pentema antincendio/SAR realizzabile con Sentinel a costo zero","3","3","9","YELLOW","Open-Medium","earth-observation-expert + business-model","Mitigate","Posizionamento high-resolution + low-latency vs Sentinel weekly + 10m; servizi value-added analytics + report customized","2","3","6","Y1+","high","2026-05-17","Sentinel-2C/3C launch + Copernicus services expansion","","N"
"RSK-MKT-006","Mercato","Adozione cooperative lenta - 10 cooperative pilota non confermano partecipazione","M+6 < 6 cooperative confermano partecipazione formale","3","3","9","YELLOW","Open-Medium","business-model + Legacoop","Mitigate","Workshop cooperative Q+1; valore proposto chiaro + canone accessibile; pilot gratuito M+0-3; community engagement","2","3","6","Y0-Y1","medium-high","2026-05-17","Cooperative engagement metrics + LoI signed","","N"
"RSK-MKT-007","Mercato","Servizi NTN 6B mercato - 5G NTN adozione lenta vs piano IRIS2/Starlink","5G NTN deployment commerciale < 10% device EU entro Y4","3","3","9","YELLOW","Monitor","telecom-ntn-payload-expert + business-model","Mitigate","Servizi NTN target settori dedicated (emergency, IoT rurale) vs mass market; pricing capacity wholesale","3","2","6","Y4+","medium","2026-05-17","5G NTN device shipments + IRIS2/Starlink Direct-to-Device launches","","N"
"RSK-OPS-001","Operativo","Operazioni invernali Appennino Ligure - neve, ghiaccio, basse temp riducono giorni op.","Inverno 2026-27 mostra < 60% giorni operativi vs piano","3","3","9","YELLOW","Open-High","vtol-uas-specialist + ops","Mitigate","Training pilota inverno; finestre operative meteo-dipendenti; de-icing batterie+celle; planning seasonal","2","3","6","Y1+","high","2026-05-17","Meteo Pentema mensile + giorni op. tracking","","Y"
"RSK-OPS-004","Operativo","Disponibilita piattaforma - lead time JOUAV/Tekever 6-12 mesi standard","Order placement > M+6 ritarda first flight oltre M+12","3","3","9","YELLOW","Open-Medium","vtol-uas-specialist + supply-chain","Mitigate","Order placement early M+3; stock spare parts; rental option backup","2","2","4","Y1","medium-high","2026-05-17","Vendor lead time updates + order confirmations","","N"
"RSK-OPS-005","Operativo","Manutenzione UAS - downtime non programmato > 20% target","Downtime cumulativo Y1 > 60 giorni","3","3","9","YELLOW","Open-Medium","ops + maintenance","Mitigate","Piano manutenzione preliminare; spare parts kit on-site; vendor support contract; secondo UAV backup Y2","2","3","6","Y1+","medium-high","2026-05-17","Downtime tracking weekly + MTBF metrics","","N"
"RSK-OPS-006","Operativo","Coordinamento PC Liguria - tempi attivazione emergency > target","Test esercitazione PC mostra tempo attivazione > 4h","3","3","9","YELLOW","Monitor","ops + community-engagement","Mitigate","MoU PC Liguria + procedure attivazione 24/7; training congiunto PC+Firmamento; SLA contrattuale","2","2","4","Y1+","medium","2026-05-17","Esercitazioni PC + tempo attivazione actuals","","N"
"RSK-OPS-009","Operativo","Scalabilita ops Y2-Y3 - team ops sottodimensionato per 2-3 regioni","Y2 espansione 2 regioni richiede team 2x ma hire delay","3","3","9","YELLOW","Monitor","HR + ops","Mitigate","Pianificazione hire Y2 (3-4 FTE ops); training accelerato; tooling automazione operations management","2","2","4","Y2-Y3","medium","2026-05-17","Hire pipeline + tools deployment","","N"
"RSK-PRV-006","Privacy/Legale","AI Act conformity assessment - Notified Body bottleneck (cf RSK-REG-016/009)","Conformity assessment AI Act > 12 mesi ritardo","3","3","9","YELLOW","Monitor","data-privacy + systems-engineer","Mitigate","Engagement early NB; pre-assessment documentazione; design AI Act-compliant fin da concept","2","2","4","Y2-Y3","medium","2026-05-17","NB capacity reports + assessment timelines","","N"
"RSK-REG-002","Regolatorio","SORA SAIL III Pentema BVLOS - richiede percorso Certified Category EASA","ENAC in pre-application valuta SAIL > III per scenario Pentema (popolato + critical)","3","3","9","YELLOW","Open-High","aviation-regulatory","Mitigate","Pre-application meeting ENAC M+3-6 + M1 (operational mitigation) + M2 (technical mitigation, parachute + flight termination)","2","3","6","Y1 (M+3-9)","medium-high","2026-05-17","ENAC pre-app feedback + SAIL determination doc","","Y"
"RSK-REG-003","Regolatorio","AGCOM spettro HAPS Italia - banda S non assegnata per HAPS commercial","AGCOM emette consultazione spettro senza include HAPS service link","3","3","9","YELLOW","Monitor","telecom-ntn-payload-expert + aviation-regulatory","Mitigate","Engagement AGCOM precoce (DR-005); domanda licenza sperimentale L1+L5; partecipazione consultazione ITU-R WP 5C","2","3","6","Y3-Y4","medium","2026-05-17","AGCOM delibera spettro UAS/HAPS + ITU-R WRC outcomes","","N"
"RSK-REG-009","Regolatorio","Notified Body shortage - CE marking AI Act + Direttiva Macchine + radio","Mercato NB satura su AI Act 2026-27; tempo attesa > 12 mesi","3","3","9","YELLOW","Monitor","systems-engineer + data-privacy","Mitigate","Engagement early NB (TUV, IMQ, Bureau Veritas); preparazione pre-assessment documentazione","2","2","4","Y2-Y3","medium","2026-05-17","NB capacity report ACCREDIA + waiting time tracking","","N"
"RSK-REG-013","Regolatorio","Coordinamento ENAV - manca AIP procedure UAS BVLOS Pentema","ENAV non rilascia procedura AIP entro M+9","3","3","9","YELLOW","Open-High","aviation-regulatory + vtol-uas-specialist","Mitigate","Engagement ENAV Genova ACC; NOTAM dedicato per ogni missione; coordinamento con CAA militare Mar Ligure","2","3","6","Y1","medium-high","2026-05-17","ENAV response time + AIP Italy SUP","","N"
"RSK-REG-014","Regolatorio","Garante Privacy - precedenti negativi su EO/UAS in spazi pubblici","Provvedimento Garante simile (es. sorveglianza droni Comuni) rivela limiti","3","3","9","YELLOW","Open-Medium","data-privacy-counsel","Mitigate","Analisi precedenti Garante (DR-006); DPIA conforme; documentazione necessita/proporzionalita","2","2","4","Y1+","medium","2026-05-17","Garante provvedimenti pubblicati + sentenze Cassazione","","N"
